lambda,mu,tempo_medio_espera,tam_medio_fila,distancia
0.3745401188473625,0.18682040923334925,19.445539611258923,7.83,131.32119412872913
0.9507143064099162,0.16645604811570164,246.15782706391823,66.545,105.9744531981855
0.7319939418114051,0.08807695625143003,417.71151884461784,72.5,272.432940963629
0.5986584841970366,0.30363333505074397,13.581898250947672,8.655,137.06927996387373
0.15601864044243652,0.23831208025431444,0.44986261514275966,0.68,151.062192463335
0.15599452033620265,0.43285049616200183,0.08474345840022494,0.36,151.4690520995417
0.05808361216819946,0.016054790241029127,1691.7293874781512,49.935,1541.9824475131861
0.8661761457749352,0.32193396377756317,35.53940899749727,23.57,114.47135795753542
0.6011150117432088,0.38147443925578056,3.4064110461776296,3.295,147.7821279700703
0.7080725777960455,0.3797432845941535,9.340390407634798,7.355,141.41994836541483
0.020584494295802447,0.44303698354776255,0.0,0.06,151.59605403835548
0.9699098521619943,0.36451687141474703,32.67061404033598,22.965,117.33335431441395
0.8324426408004217,0.46390503082384815,4.579725473771864,4.99,146.4117356747182
0.21233911067827616,0.16632829991044573,2.568517203650344,1.58,148.83890123059342
0.18182496720710062,0.25160470837577154,0.3307496715765676,0.66,151.18293585544725
0.18340450985343382,0.007039831641445338,5530.354990746348,87.925,5380.758862100599
0.3042422429595377,0.0034787936516456064,14184.77605809968,97.655,14034.979967211675
0.5247564316322378,0.12006331022575994,247.06600258520342,57.675,103.4142856808029
0.43194501864211576,0.05040359856954263,733.3112029878877,71.57,585.4136524126993
0.2912291401980419,0.1301056839678768,42.19136988262604,11.7,108.29954167855352
0.6118528947223795,0.0885216472641987,453.2957220823219,70.7,307.18070420102407
0.13949386065204183,0.01426001241932412,2540.8181090544576,72.09,2391.3427689653217
0.29214464853521815,0.4546520732030247,0.22779912233604668,0.67,151.28344607305624
0.3663618432936917,0.004111565694445762,11165.488969849603,97.65,11015.748733852739
0.45606998421703593,0.3680410721685427,1.5570753941957665,1.825,149.80765164211232
0.7851759613930136,0.07607394345975826,502.6316205026662,72.905,356.28693324810047
0.19967378215835974,0.4561148109998,0.09567759189867829,0.47,151.44255272753423
0.5142344384136116,0.4463979697949429,0.6017226785977878,1.195,150.83995920048045
0.5924145688620425,0.32695057318462867,19.72148944580404,12.205,130.646210573517
0.046450412719997725,0.33611707490030257,0.006956274290110968,0.16,151.5747299720594
0.6075448519014384,0.0026695709848442717,19768.792299058157,97.27,19618.93669000651
0.17052412368729153,0.492435783056801,0.07489888813169841,0.36,151.47879568904668
0.06505159298527952,0.4389163017879072,0.007254902796403257,0.16,151.57443445975542
0.9488855372533332,0.447553112865046,24.177788471913836,20.32,125.83342685399003
0.9656320330745594,0.32962226852543597,35.37752604970622,23.865,114.63764547253129
0.8083973481164611,0.17239346432726826,108.07036986147347,39.58,45.46592442207277
0.3046137691733707,0.4468243245452404,0.16715156900248893,0.64,151.34771907414486
0.09767211400638387,0.14575846407559617,0.7657607945050273,0.68,150.74946285557004
0.6842330265121569,0.28135577167110143,7.674564510660136,5.535,143.27465167373552
0.4401524937396013,0.0498654861719412,771.3337670594846,75.205,623.6075866386889
0.12203823484477883,0.4609778150663751,0.04538461072880523,0.3,151.51658878335485
0.4951769101112702,0.07038522888560667,587.7905630788645,72.325,440.6735557597134
0.034388521115218396,0.11244840286520363,0.24520586704134983,0.34,151.31309912167163
0.9093204020787821,0.2790670790641075,67.8951239717228,37.075,83.47733999486788
0.2587799816000169,0.38204650010649077,0.19273424874803255,0.63,151.32380437943738
0.662522284353982,0.3096756529681495,8.14872015420854,6.3,142.71746772518435
0.31171107608941095,0.11606695640007808,149.41218242826392,33.03,11.04565206303556
0.5200680211778108,0.0004715212637451671,96283.09088547408,98.675,96133.12146315881
0.5467102793432796,0.3785752901537196,1.3364376031642444,1.85,150.02292253025163
0.18485445552552704,0.49260366295554686,0.081866062216952,0.39,151.46761694628674
0.9695846277645586,0.4049565601530452,14.734597073934937,12.805,135.5775691394072
0.7751328233611146,0.23010330907830767,79.16841840085728,35.485,72.10380140350448
0.9394989415641891,0.4518836306995533,5.766038574136071,6.42,145.07298862502833
0.8948273504276488,0.204923836559175,157.70633967408094,59.99,38.763742997449484
0.5978999788110851,0.2624670421217338,46.81159196761167,23.17,103.19504083171181
