lambda,mu,tempo_medio_espera,tam_medio_fila,distancia,desistencias
0.3745401188473625,0.18682040923334925,7.283838105003833,4.13,143.83059398486387,0
0.9507143064099162,0.16645604811570164,98.53603749659092,33.08,52.64319363937085,309
0.7319939418114051,0.08807695625143003,217.53408283491206,39.01,69.64332304214642,618
0.5986584841970366,0.30363333505074397,7.672077095600775,6.19,143.20333005304246,0
0.15601864044243652,0.23831208025431444,0.4190430224650109,0.565,151.1089736425841,0
0.15599452033620265,0.43285049616200183,0.0588551273029341,0.37,151.49324679910694,0
0.05808361216819946,0.016054790241029127,666.1096677001419,21.58,516.1098385940254,125
0.8661761457749352,0.32193396377756317,22.811296523304712,14.295,127.42187142356181,73
0.6011150117432088,0.38147443925578056,5.3136892824528585,4.665,145.72107168853307,0
0.7080725777960455,0.3797432845941535,2.7647031008493435,2.9,148.46899559497612,0
0.020584494295802447,0.44303698354776255,0.0,0.04,151.59894986443672,0
0.9699098521619943,0.36451687141474703,20.250339285412704,15.855,129.89509413580836,29
0.8324426408004217,0.46390503082384815,3.249502249852116,4.04,147.84542667906965,0
0.21233911067827616,0.16632829991044573,3.4346298387413627,1.885,147.93924751568383,0
0.18182496720710062,0.25160470837577154,0.43809111923733374,0.605,151.08444861420236,0
0.18340450985343382,0.007039831641445338,3934.0112464067493,53.235,3784.1401583659344,2470
0.3042422429595377,0.0034787936516456064,7872.2274698273095,54.5,7722.295859765766,8493
0.5247564316322378,0.12006331022575994,101.72503965254127,24.815,48.3569645609473,166
0.43194501864211576,0.05040359856954263,357.3867589936614,38.145,208.01425150910933,574
0.2912291401980419,0.1301056839678768,57.99033682102341,16.025,92.20346383574056,17
0.6118528947223795,0.0885216472641987,221.09324056688172,37.09,72.6770730994343,514
0.13949386065204183,0.01426001241932412,1858.0725042537595,47.645,1708.2650104163315,870
0.29214464853521815,0.4546520732030247,0.21458149486262582,0.555,151.31278737026543,0
0.3663618432936917,0.004111565694445762,7632.342916771163,54.55,7482.413716619497,9839
0.45606998421703593,0.3680410721685427,2.013281824302569,1.975,149.33542574156107,0
0.7851759613930136,0.07607394345975826,326.75850075800304,44.5,178.18478495712523,858
0.19967378215835974,0.4561148109998,0.10774888999275689,0.42,151.4377210038023,0
0.5142344384136116,0.4463979697949429,0.9796614765504081,1.545,150.4176463007034,0
0.5924145688620425,0.32695057318462867,6.877855572257472,5.575,144.0615453568217,0
0.046450412719997725,0.33611707490030257,0.01058350151749906,0.155,151.57186113047257,0
0.6075448519014384,0.0026695709848442717,10331.130820224755,54.795,10181.183638976137,23185
0.17052412368729153,0.492435783056801,0.039097005552210434,0.345,151.5163735439513,0
